Kode Pangan,Nama Pangan,Lemak,Karbohidrat,Serat,Natrium,Kalium,Keterangan,link
DP033,Gulai pakis,11.4,6,1.4,0,0,Gulai Pakis adalah masakan tradisional dari Jawa Barat yang terbuat dari pucuk pakis yang dimasak dengan bumbu gulai. Gulai Pakis memiliki rasa gurih dan sering disajikan sebagai lauk.,https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP034,Gulai pliek,14.9,3.2,0,2.57,2.85,Gulai Pliek adalah masakan khas Aceh yang terbuat dari daging sapi yang dimasak dengan bumbu gulai yang kaya rempah. Gulai Pliek memiliki rasa gurih dan pedas.,https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP036,"Kaparende, sayur",2,2.6,1.5,1.7,0.43,"Kaparende adalah hidangan sayur khas Indonesia, terutama dari Sulawesi Selatan. Hidangan ini terdiri dari sayuran (seperti kangkung, bayam, atau ubi) yang dimasak dengan bumbu khas seperti kelapa parut, bawang merah, cabai, dan rempah-rempah lainnya.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP037,"Karedok, sayur",3.3,14.1,1.4,0,0,"Karedok adalah hidangan sayur tradisional Indonesia yang terdiri dari sayuran mentah seperti mentimun, kacang panjang, tauge, dan daun kemangi yang disajikan dengan bumbu kacang. Hidangan ini biasanya disantap dengan nasi atau lontong.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP038,Keripik bayam,40.6,50.2,0.5,0,0,Keripik bayam adalah camilan yang terbuat dari irisan tipis daun bayam yang digoreng hingga renyah. Keripik bayam biasanya digarami atau diberi bumbu khusus untuk memberikan cita rasa yang gurih. Camilan ini sering dijadikan alternatif sehat sebagai pengganti keripik kentang.,https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP040,Lema/ Rebung asam,0.4,1.9,0,0.03,1.56,"Rebung asam merupakan makanan khas Bengkulu, yang terbuat dari bambu muda, yang di potong potong korek api, dan direndam selama sekurang kurangnya 3 malam. namun setiap hari airnya harus di ganti, rebung asam ini awet, dengan syarat terus direndam dan airnya di ganti.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP041,Lilin bungkus gedi,5.2,5.8,2.5,1.7,0.5,Makanan ini merupakan makanan yang dibungkus dengan dau Gedi,https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP042,Olah-olah,6,7.1,4.4,2.89,2.66,"Olah-olah adalah istilah umum untuk makanan yang diolah atau dimasak dengan berbagai cara seperti digoreng, direbus, atau ditumis. Contoh olah-olah yang populer termasuk sayuran tumis, ikan goreng, atau ayam panggang.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP044,Pelecing kangkung,2.8,10,5.4,4.08,3.81,"Pelecing kangkung adalah hidangan khas Bali, Indonesia. Terdiri dari kangkung rebus yang disajikan dengan sambal terasi (sambal pedas dengan terasi atau pasta terasi) dan bahan tambahan seperti tomat, bawang merah, dan jeruk limo. Pelecing kangkung memiliki rasa pedas, segar, dan gurih.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP045,Purundawa,0.5,3.6,1.7,2.39,2.01,"Purundawa adalah hidangan tradisional dari Jawa Tengah, Indonesia. Hidangan ini terbuat dari campuran ketan, kelapa parut, dan gula merah yang dibungkus dengan daun pisang. Purundawa memiliki tekstur lembut dan rasa manis yang khas.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP046,Rujak cingur,8.4,8,1.4,0,0,"Rujak cingur adalah hidangan khas Jawa Timur, Indonesia. Rujak ini terbuat dari campuran sayuran seperti timun, kangkung, tauge, dan cingur (moncong sapi yang direbus dan dipotong-potong). Semua bahan tersebut disiram dengan bumbu kacang yang khas dan biasanya disajikan dengan lontong atau nasi. Rujak cingur memiliki rasa yang segar, gurih, dan sedikit pedas.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP047,Sayur asem,0.6,5,0.6,0,0,"Sayur asem adalah hidangan sup asam yang terbuat dari campuran sayuran seperti kacang panjang, jagung manis, labu siam, dan daun melinjo yang direbus dalam kuah asam yang berasal dari asam jawa. Sayur asem biasanya memiliki rasa asam segar dan gurih, dan sering disajikan dengan nasi sebagai hidangan utama.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP048,Sayur Bunga Pepaya,0.3,9.8,2.7,0.9,3.5,Sayur bunga pepaya adalah hidangan sayuran yang terbuat dari bunga pepaya yang muda dan masih dalam bentuk tunas. Bunga pepaya dipotong-potong dan kemudian direbus atau dikukus. Sayur bunga pepaya biasanya disajikan dengan kuah santan atau dimasak dengan bumbu-bumbu seperti cabai dan terasi.,https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP049,Sayur Garu,13.9,10.6,8.4,0.2,1.2,"Sayur garu adalah hidangan sayuran yang terbuat dari campuran berbagai jenis sayuran yang diiris tipis dan dicampur bersama dalam satu hidangan. Sayur garu biasanya dimasak dengan bumbu-bumbu seperti bawang, cabai, dan terasi. Hidangan ini memiliki rasa gurih dan segar dari berbagai macam sayuran yang digunakan.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP050,Sayur kohu-kohu,6.6,11.2,1.2,0.2,0.5,"Sayur Kohu-Kohu adalah hidangan sayuran khas Sulawesi Selatan, Indonesia. Hidangan ini terdiri dari campuran sayuran segar seperti daun singkong, kacang panjang, daun melinjo, daun kemangi, dan mentimun yang diiris tipis. Sayuran tersebut kemudian dicampur dengan bumbu kacang yang kaya rempah seperti kacang tanah, cabai, bawang putih, dan gula merah. Sayur Kohu-Kohu biasanya disajikan sebagai hidangan utama atau lauk pendamping nasi.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP051,Sayur Lilin Terubuk,0.7,4.8,1.4,0.3,0.44,"Sayur Lilin Terubuk adalah hidangan sayuran khas Kalimantan Barat, Indonesia. Hidangan ini terdiri dari pucuk daun kelapa yang masih muda dan disebut ""lilin terubuk"" karena bentuknya yang menyerupai lilin. Pucuk daun kelapa tersebut dimasak dengan bumbu rempah seperti bawang putih, bawang merah, cabai, dan terasi. Sayur Lilin Terubuk biasanya disajikan dengan nasi sebagai hidangan utama.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP052,Sayur ndusuk,2.5,3.6,0,10.11,0.88,"Sayur Ndusuk adalah hidangan sayuran khas Jawa Tengah, Indonesia. Hidangan ini terdiri dari campuran sayuran seperti daun singkong, daun pepaya, dan daun melinjo yang dimasak dengan bumbu rempah seperti bawang putih, bawang merah, cabai, dan terasi. Sayur Ndusuk biasanya disajikan dengan nasi sebagai hidangan utama.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP053,Sayur sop,2,1,0.3,0,0,"Sayur sop adalah hidangan sup sayuran yang terdiri dari campuran sayuran seperti wortel, kentang, buncis, jagung manis, dan kubis yang dimasak dalam kuah kaldu yang gurih. Sayur sop biasanya diberi tambahan daging ayam, sapi, atau babi untuk memberikan rasa lebih kaya. Hidangan ini sering disajikan dengan nasi atau roti sebagai hidangan utama.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP054,Sayur umbut kelapa,2.9,5.1,1.4,3.13,1.08,"Sayur umbut kelapa adalah hidangan sayuran yang menggunakan umbut kelapa muda sebagai bahan utamanya. Umbut kelapa muda dipotong-potong dan dimasak bersama dengan campuran sayuran seperti wortel, kacang panjang, jagung manis, dan buncis dalam kuah santan yang kaya rempah. Sayur umbut kelapa biasanya disajikan dengan nasi sebagai hidangan utama.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP055,Sayur Umbut Rotan,2.6,3.1,1.6,2.56,0.81,"Sayur umbut rotan adalah hidangan sayuran yang menggunakan umbut rotan sebagai bahan utamanya. Umbut rotan dipotong-potong dan dimasak bersama dengan campuran sayuran lainnya seperti wortel, kacang panjang, jagung manis, dan buncis dalam kuah santan yang kaya rempah. Sayur umbut rotan biasanya disajikan dengan nasi sebagai hidangan utama.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP056,Shabu-shabu,8,0.8,0.9,5.14,0,"Shabu-Shabu adalah hidangan Jepang yang terdiri dari irisan tipis daging (seperti daging sapi, ayam, atau babi) dan berbagai macam sayuran segar yang dimasak dalam panci berisi kaldu panas. Daging dan sayuran dicelupkan ke dalam kaldu selama beberapa detik, kemudian disajikan dengan saus ponzu atau saus goma (saus wijen) sebagai hidangan utama. Shabu-Shabu biasanya disantap bersama nasi atau mie.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP057,Semur jengkol,10,29.1,0,0,0,Semur jengkol adalah hidangan yang terbuat dari jengkol yang dimasak dalam kuah semur yang kaya rempah. Jengkol adalah sejenis kacang-kacangan yang memiliki rasa khas dan aroma yang kuat. Hidangan ini biasanya disajikan dengan nasi sebagai hidanganutama atau lauk pendamping.,https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP059,Tumis bayam bersantan,4.2,2.6,0.5,0,0,"Tumis bayam bersantan adalah hidangan masakan Indonesia yang terbuat dari bayam yang ditumis dengan bumbu seperti bawang, cabai, dan santan. Hidangan ini memiliki rasa gurih dan segar dari bayam.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP060,Waluh balamak,0.9,8.1,7.9,0.61,0.15,"Waluh balamak adalah hidangan masakan Minangkabau, Sumatera Barat, Indonesia. Waluh balamak terbuat dari labu kuning (waluh) yang dimasak dengan santan, gula, dan rempah-rempah. Hidangan ini memiliki rasa manis dan gurih.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
DP061,Woku ubi,7.8,15,7,3.53,2.56,"Woku ubi adalah hidangan masakan Manado, Sulawesi Utara, Indonesia. Woku ubi terbuat dari ubi yang dimasak dengan bumbu woku khas Manado, yang terdiri dari cabai, bawang, jahe, lengkuas, dan rempah-rempah lainnya. Hidangan ini memiliki rasa pedas, gurih, dan aroma yang khas.",https://www.bantennews.co.id/wp-content/uploads/2019/06/Screenshot_2019-06-16-00-14-40-190_org.detikcom.rss_.jpg
EP001,Barongko,5.8,23.5,0,0.46,0.78,"Barongko adalah sejenis kue tradisional yang berasal dari Sulawesi Selatan, Indonesia. Kue ini terbuat dari campuran pisang, kelapa parut, telur, gula, dan rempah-rempah seperti kayu manis. Barongko biasanya dikukus hingga matang dan memiliki tekstur yang lembut serta rasa yang manis. Kue ini sering disajikan sebagai hidangan penutup atau makanan ringan.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP002,Dodol nanas,1.2,80.3,0,0,0,Dodol Nanas adalah makanan tradisional yang terbuat dari buah nanas yang diolah bersama dengan gula kelapa. Dodol ini memiliki rasa manis dan asam yang segar.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP003,Getuk pisang,0.4,34.1,0.4,0,0,"Getuk Pisang adalah makanan tradisional yang terbuat dari pisang yang dihaluskan, kemudian dicampur dengan tepung ketan dan santan. Getuk Pisang memiliki rasa manis dan tekstur yang kenyal.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP004,Keripik lampung,22.2,69.7,0.6,0,0,"Keripik lampung adalah camilan khas dari daerah Lampung, Indonesia. Keripik ini biasanya terbuat dari umbi-umbian seperti singkong atau ubi jalar yang diiris tipis dan digoreng hingga renyah. Keripik Lampung memiliki rasa yang gurih dan seringkali diberi bumbu khas daerah Lampung.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP006,Lempog durian,5.7,63.7,4.9,0,0,"Lempuk Durian adalah kudapan manis yang masih sejenis dengan dodol durian. Bagi masyarakat Pekanbaru, Lempuk Durian adalah olahan dodol durian yang menjadi makin istimewa, sebab dicampur dengan gula merah dalam proses pembuatannya.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP007,Loka anjoro,4.3,30,0,0,0,"Loka anjoro adalah sajian tradisional yang berbahan baku pisang dan menjadi makanan khas Polewali Mandar, Sulawesi Barat. Makanan ini biasanya dihidangkan pada jam 9- 10 pagi hari dan juga biasanya dihidangkan pada acara acara pertemuan kekeluargaan",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP008,Rica-rica taipa,0.3,10,0,4.26,0.42,"Rica-rica taipa adalah hidangan dari Sulawesi Utara, Indonesia. Hidangan ini terbuat dari daging taipa (jenis ikan laut) yang dimasak dengan bumbu rica-rica, yaitu bumbu pedas khas Sulawesi yang terdiri dari cabai, bawang, jahe, kunyit, dan rempah-rempah lainnya. Rica-rica taipa memiliki rasa pedas, gurih, dan segar.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP009,Rujak aceh,0.3,19.7,2.4,0,0,"Rujak Aceh adalah hidangan khas Aceh, Indonesia. Rujak ini terbuat dari campuran buah-buahan seperti mangga, nanas, kedondong, dan bengkuang yang dipotong kecil-kecil, kemudian disiram dengan bumbu rujak yang pedas, gurih, dan asam. Rujak Aceh memiliki rasa yang unik dan segar.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP010,Sale kesemek,0.6,71.4,0,0,0,Sale kesemek adalah makanan manis yang terbuat dari buah kesemek yang diolah dengan cara dikeringkan atau diasinkan. Sale kesemek memiliki rasa manis alami dari buah kesemek dan sering disajikan sebagai camilan.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP011,Sale pisang siam,0.7,66.1,1,0,0,Sale pisang siam adalah makanan manis yang terbuat dari pisang siam yang diolah dengan cara dikeringkan atau diasinkan. Sale pisang siam memiliki rasa manis alami dari pisang dan sering disajikan sebagai camilan.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP012,"Sale pisang, cilacap",2.1,66.9,1.3,0,0,"Sale pisang Cilacap adalah makanan manis yang berasal dari Cilacap, Jawa Tengah, Indonesia. Sale pisang ini terbuat dari pisang yang diolah dengan cara dikeringkan atau diasinkan. Sale pisang Cilacap memiliki tekstur kenyal dan rasa manis khas.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP013,Sanggara belanda,7.1,38.2,0,0,0,"Sanggara Belanda adalah hidangan tradisional dari Belanda yang biasanya terdiri dari kue-kue kecil yang beragam, seperti kue bolu, kue kering, atau kue tart. Hidangan ini umumnya disajikan sebagai camilan atau dihidangkan saat acara khusus.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP014,Tepung Pisang,0.4,80.6,5.3,0.18,7.34,"Tepung pisang adalah tepung yang terbuat dari pisang yang telah dikeringkan dan digiling menjadi serbuk halus. Tepung pisang sering digunakan dalam pembuatan kue, roti, atau adonan kulit karena memberikan rasa dan aroma pisang yang khas. Tepung pisang juga bisa digunakan sebagai bahan pengental dalam hidangan.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
EP015,Tepung Sukun,0.5,84.4,3.7,0.09,20.08,"Tepung sukun adalah jenis tepung yang terbuat dari buah sukun yang telah dikeringkan dan digiling menjadi serbuk halus. Tepung sukun sering digunakan dalam pembuatan kue tradisional, roti, atau adonan kulit karena memberikan rasa yang khas. Tepung sukun juga dapat digunakan sebagai bahan pengental dalam hidangan.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER001,Alpukat,6.5,7.7,0,0.02,0.278,"Alpukat adalah buah yang memiliki kulit berwarna hijau gelap dan daging yang lembut dan kaya akan lemak sehat. Rasanya krimi dan sedikit manis. Alpukat sering digunakan dalam makanan penutup, smoothie, salad, atau sebagai bahan dalam hidangan seperti guacamole.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER002,Anggur hutan,0.2,6.8,1.2,0,0,"Anggur Hutan adalah buah yang tumbuh liar di hutan atau di alam liar. Buah ini memiliki kulit yang tebal dan biasanya berwarna ungu gelap atau merah. Anggur Hutan memiliki rasa manis dengan sedikit keasaman. Buah ini dapat dimakan langsung atau digunakan sebagai bahan dalam minuman, selai, atau hidangan penutup.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER003,Apel malang,0.4,12.8,0.8,0.0036,0.1754,"Apel Malang adalah varietas apel yang berasal dari daerah Malang, Indonesia. Buah ini memiliki kulit yang halus dan daging yang renyah serta rasa yang manis. Apel Malang terkenal karena kualitasnya yang baik dan sering dikonsumsi langsung atau digunakan dalam berbagai hidangan seperti jus, selai, atau kue.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER004,Apel,0.4,14.9,2.6,0.02,0.13,"Apel adalah buah yang berasal dari pohon apel. Buah ini memiliki kulit yang halus dan daging yang renyah. Apel memiliki rasa yang manis dan segar. Buah ini sering dimakan langsung atau digunakan sebagai bahan dalam makanan atau minuman lain seperti jus, pai apel, atau salad.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER005,Arbai,0.5,8.3,0,0.0195,0.043,"Arbai adalah hidangan khas Arab yang terdiri dari nasi yang diolah dengan campuran daging, rempah-rempah, dan bumbu. Hidangan ini memiliki aroma yang khas dan rasa yang gurih. Arbai sering disajikan dengan daging sapi, domba, atau ayam dan biasanya dihidangkan pada acara khusus atau perayaan.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER006,Belimbing,0.4,8.8,3.2,0.04,0.13,"Belimbing adalah buah yang berasal dari pohon belimbing (Averrhoa carambola). Buah ini memiliki bentuk seperti bintang dan memiliki rasa yang asam segar. Belimbing dapat dimakan langsung atau digunakan dalam berbagai hidangan, seperti salad atau jus.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER007,Biwah,0.1,12.1,0.7,0.01,0.2586,Biwah adalah buah yang berasal dari pohon Biwah (Diospyros blancoi). Buah ini memiliki kulit berwarna cokelat dan daging buah yang manis dan lembut. Biwah biasanya dikonsumsi segar atau digunakan dalam berbagai hidangan atau kue.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER008,Buah atung,0.2,5.2,0,0,0,Buah atung adalah buah yang berasal dari pohon atung (Dimocarpus longan). Buah ini memiliki daging buah yang manis dan kenyal. Buah atung biasanya dikonsumsi segar atau digunakan dalam berbagai hidangan dan minuman.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER009,Buah kelenting,2.1,21.4,0,0.02,0,Buah kelenting adalah buah yang berasal dari pohon kelenting (Ficus variegata). Buah ini memiliki kulit yang berwarna hijau dan daging buah yang manis. Buah kelenting dapat dimakan segar atau digunakan dalam berbagai hidangan dan minuman.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER010,Buah kom,1.1,59.6,9,0,0,Buah kom adalah buah yang berasal dari pohon kom (Garcinia dulcis). Buah ini memiliki rasa yang asam manis dan sering digunakan dalam berbagai hidangan dan minuman di beberapa daerah di Indonesia.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER012,Buah Naga Merah,3.1,9.1,3.2,0.1,0.128,"Buah Naga Merah adalah buah yang berasal dari kaktus yang dikenal dengan nama buah naga. Buah ini memiliki kulit berwarna merah cerah dan daging buah yang berair dan manis. Buah Naga Merah dapat dimakan segar, dijadikan jus, atau digunakan dalam hidangan penutup.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER013,Buah Naga Putih,1,10.9,3.2,0.07,0.231,"Buah Naga Putih adalah varietas buah naga yang memiliki kulit berwarna putih atau merah muda pucat. Daging buahnya berwarna putih dan memiliki rasa yang manis. Buah Naga Putih sering digunakan dalam hidangan penutup, jus, atau dimakan segar.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER015,Buah nona,0.6,25.2,2.8,0.05,0.3125,"Buah nona adalah buah yang berasal dari pohon nona (Annona squamosa). Buah ini memiliki kulit berwarna hijau kekuningan dan daging buah yang lembut, manis, dan beraroma. Buah nona dapat dimakan segar atau digunakan dalam berbagai hidangan penutup.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER016,Buah Rotan,0.3,18.2,0,0.07,0.495,"Buah rotan terdiri atas kulit luar berupa sisik yang berbentuk trapesium dan tersusun secara vertikal dan toksis buah. Ukuran sisik bervariasi, tergantung pada ukuran buah, makin besar ukuran buah, makin besar pula ukuran sisiknya. Bentuk permukaan buah rotan halus atau kasar berbulu.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER017,Buah rukam,0.3,26.8,7.7,0.02,0.219,"Buah rukam adalah buah yang berasal dari pohon rukam (Flacourtia rukam). Buah ini memiliki daging buah yang berwarna merah atau ungu gelap, dengan rasa yang manis71. Buah salak: Buah salak adalah buah yang berasal dari pohon salak (Salacca zalacca). Buah ini memiliki kulit yang kasar dan berduri, dengan daging buah yang manis dan tekstur yang renyah. Buah salak biasanya dimakan segar atau digunakan dalam berbagai hidangan dan minuman.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER020,Carica papaya,0.2,3.7,1,0,0,Carica papaya adalah makanan yang terbuat dari buah pepaya yang telah dikeringkan.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER021,Cempedak,0.4,28.6,3.4,0.25,0.2437,Cempedak adalah buah yang memiliki rasa manis dan aroma yang khas.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER022,Duku,0.2,16.1,4.3,0.02,0.149,Duku adalah buah tropis yang populer di Indonesia. Buah ini memiliki kulit yang tebal dan daging buah yang manis. Duku biasanya dimakan langsung atau digunakan sebagai bahan dalam berbagai hidangan dan makanan penutup.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER023,Durian,3,28,3.5,0.01,0.601,"Durian adalah buah yang terkenal di Asia Tenggara, termasuk Indonesia. Buah ini memiliki kulit berduri dan daging buah yang kaya akan aroma yang kuat. Durian memiliki rasa yang unik dan biasanya disukai oleh para penggemarnya.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER024,Duwet,0.6,18.2,0.9,0.16,0.0927,"Duwet, juga dikenal sebagai buah jamblang, adalah buah yang tumbuh di pohon jamblang. Buah ini memiliki kulit yang berwarna ungu gelap dan daging buah yang berair. Duwet biasanya dimakan segar atau dijadikan bahan dalam minuman dan makanan penutup.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER025,Embacang,0.2,25.4,1.9,0.03,0.2509,"Embacang adalah makanan tradisional dari Riau yang terbuat dari beras ketan yang dibungkus dengan daun pandan. Isi embacang biasanya berupa campuran daging, ikan, atau telur yang dimasak dengan rempah-rempah khas. Embacang kemudian dikukus hingga matang dan memiliki tekstur yang kenyal.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER026,Encung asam,4.5,17.5,9.3,0,0,Encung Asam adalah minuman tradisional dari Jawa Timur yang terbuat dari asam jawa yang dicampur dengan air dan gula. Encung Asam memiliki rasa asam yang segar dan sering disajikan sebagai minuman penyegar.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER027,Erbis,0,18.9,7.7,0.21,0.2571,Erbis adalah makanan tradisional dari Jawa Tengah yang terbuat dari ubi jalar yang diolah dengan santan dan gula merah. Erbis memiliki tekstur yang lembut dan rasa yang manis.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER028,Gandaria masak,0.1,18,2.2,0.03,0.129,"Gandaria Masak adalah hidangan yang terbuat dari buah gandaria yang dimasak dengan santan, gula merah, dan bumbu rempah. Gandaria adalah buah yang tumbuh di pohon gandaria atau bouea macrophylla.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER029,Gatep,1.5,39.7,13.4,0.17,0.4033,Gatep adalah makanan tradisional dari Nusa Tenggara Timur yang terbuat dari ketan hitam yang diolah dengan santan kelapa dan gula merah. Gatep memiliki tekstur kenyal dan manis.,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
ER030,Jambu air,0.2,11.8,2.1,0.11,0.3212,"Jambu air adalah buah yang memiliki daging berair dan rasa yang segar. Buah ini dapat dimakan langsung atau digunakan sebagai bahan dalam jus, salad, atau hidangan penutup.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/06/25/1687671744619_copy_800x534-626361405.jpg
